The Queen's Sacrifice,Atziri's Mirror,Atziri's Reflection,3746.8,0.83,3747.63,4285.32,537.6899999999995
The Mentor,Matua Tupuna,Whakatutuki o Matua,4.0,0.32,4.32,60.0,55.68
A Dishonourable Death,Hyrri's Bite,Hyrri's Demise,24.09,1.0,25.09,79.38,54.28999999999999
The Great Leader of the North,The Magnate,The Nomad,20.0,0.67,20.67,65.46,44.78999999999999
Blinding Light,Eclipse Solaris,Corona Solaris,5.0,0.32,5.32,50.0,44.68
The Great Mind of the North,The Magnate,The Tactician,8.76,0.67,9.43,50.0,40.57
Darktongue's Shriek,Windscream,Windshriek,29.94,1.0,30.94,70.07,39.129999999999995
Battle Hardened,Iron Heart,The Iron Fortress,4.52,1.0,5.52,40.0,34.480000000000004
The Malevolent Witch,Doedre's Tenure,Doedre's Malevolence,3.0,0.32,3.32,35.0,31.68
The Bowstring's Music,Death's Harp,Death's Opus,9.98,0.32,10.3,39.29,28.99
Faith Exhumed,Chober Chaber,Chaber Cairn,1.0,0.32,1.32,30.0,28.68
The Nightmare Awakens,Malachai's Simula,Malachai's Awakening,2.41,0.32,2.73,30.0,27.27
Dance of Steel,The Dancing Dervish,The Dancing Duo,2.28,0.64,2.92,29.78,26.86
A Vision of Ice and Fire,Heatshiver,Frostferno,5.0,0.32,5.32,29.6,24.28
Crimson Hues,Goredrill,Sanguine Gambol,1.0,0.22,1.22,22.52,21.3
A Rift in Time,Timeclasp,Timetwist,0.85,1.0,1.85,23.01,21.16
The King's Path,Kaom's Sign,Kaom's Way,29.24,1.0,30.24,50.0,19.76
The Dreaded Rhoa,Redbeak,Dreadbeak,3.9,0.32,4.22,23.14,18.92
Fire and Brimstone,Blackgleam,The Signal Fire,1.0,0.32,1.32,20.0,18.68
The Misunderstood Queen,Queen's Decree,Queen's Escape,2.91,0.32,3.23,20.0,16.77
Ancient Doom,Doomfletch,Doomfletch's Prism,3.08,0.32,3.4,20.0,16.6
Cold Greed,Cameria's Maul,Cameria's Avarice,4.0,0.32,4.32,19.11,14.79
The Storm Spire,The Stormheart,The Stormwall,0.46,0.32,0.78,15.0,14.219999999999999
Severed Limbs,Limbsplit,The Cauteriser,0.75,0.32,1.07,15.0,13.93
Fire and Ice,Hrimsorrow,Hrimburn,2.83,0.65,3.48,15.0,11.52
The Bishop's Legacy,Geofri's Crest,Geofri's Legacy,1.63,0.32,1.95,13.31,11.36
The Fall of an Empire,Quecholli,Panquetzaliztli,0.72,0.25,0.97,11.85,10.879999999999999
Sun's Punishment,Sundance,Sunspite,1.0,1.0,2.0,11.89,9.89
A Forest of False Idols,Araku Tiki,Ngamahu Tiki,0.42,0.32,0.74,10.0,9.26
Dying Cry,Deidbell,Deidbellow,0.67,0.32,0.99,10.0,9.01
Burning Dread,Dreadarc,Dreadsurge,0.92,0.32,1.24,10.0,8.76
Dark Instincts,Foxshade,Fox's Fortune,1.0,0.32,1.32,9.39,8.07
Greed's Folly,Wondertrap,Greedtrap,1.89,0.32,2.21,10.0,7.789999999999999
The Servant's Heart,Storm Cloud,The Tempest,1.97,0.32,2.29,10.0,7.709999999999999
The Karui Rebellion,Karui Ward,Karui Charge,2.1,0.32,2.42,10.0,7.58
Cold Blooded Fury,Bloodboil,Winterweave,1.4,0.62,2.02,9.51,7.489999999999999
The Snuffed Flame,Kaltenhalt,Kaltensoul,0.73,0.32,1.05,8.16,7.109999999999999
The King and the Brambles,Bramblejack,Wall of Brambles,1.0,0.23,1.23,8.07,6.84
The Silverwood,Silverbranch,Silverbough,2.79,0.32,3.11,9.9,6.79
Trapped in the Tower,Fencoil,Mirebough,1.0,0.22,1.22,8.0,6.78
The Apex Predator,The Screaming Eagle,The Gryphon,2.0,0.32,2.32,9.0,6.68
Blind Faith,The Ignomon,The Effigon,3.45,0.32,3.77,10.21,6.44
Heavy Blows,Craghead,Cragfall,1.0,0.22,1.22,6.72,5.5
The Beginning and the End,Realmshaper,Realm Ender,1.0,0.32,1.32,6.24,4.92
Winter's Mournful Melodies,Hrimnor's Hymn,Hrimnor's Dirge,0.35,0.25,0.6,4.93,4.33
End of the Light,Icetomb,Crystal Vault,1.84,0.32,2.16,6.2,4.04
From The Void,Blackheart,Voidheart,0.98,1.0,1.98,5.93,3.9499999999999993
Last of the Wildmen,Briskwrap,Wildwrap,0.93,0.25,1.1800000000000002,5.0,3.8200000000000003
Nature's Resilience,Springleaf,The Oak,0.65,0.32,0.97,4.73,3.7600000000000002
Power Magnified,Reverberation Rod,Amplification Rod,0.83,0.32,1.15,4.0,2.85
The Bloody Flowers Redux,Ezomyte Peak,Ezomyte Hold,0.78,0.31,1.09,3.74,2.65
Song of the Sekhema,Asenath's Mark,Asenath's Chant,7.08,0.32,7.4,10.0,2.6
Black Devotion,Geofri's Baptism,Geofri's Devotion,0.77,0.32,1.09,3.22,2.1300000000000003
Agony at Dusk,Dusktoe,Duskblight,0.66,0.32,0.98,2.71,1.7299999999999998
The Flow of Energy,Shavronne's Pace,Shavronne's Gambit,0.99,0.32,1.31,3.0,1.6899999999999997
Pleasure and Pain,Crown of Thorns,Martyr's Crown,1.16,0.32,1.48,2.31,0.8300000000000001
Mouth of Horrors,Chalice of Horrors,Thirst for Horrors,0.57,0.32,0.8899999999999999,0.68,-0.2099999999999999
